"os","device_type","device_score","device_cpu"," Native视频发流切片时长 "
"Android","sm-s901n",92,"qualcomm 8 gen 1",130035.75
"Android","rmx3834",72,"Unisoc T612",129753.433333
"Android","24090ra29g",82,"mediatek mt6878  mt6878",129683.416667
"Android","sm-a075f",73,,129573.633333
"Android","moto g24",74,"helio p65",129235.55
"Android","cph2333",89,,129215.583333
"Android","u572ac",74,"helio p35",129176.45
"Android","cph2629",82,"mediatek mt6878  mt6878",128962.283333
"Android","sm-a505f",82,"exynos9610",128881.3
"Android","sm-a057f",89,,128779.15
"Android","rmx3867",82,"mediatek 1080",128746.383333
"Android","2312crnccl",74,"helio p35",128714.516667
"Android","2109119dg",85,"qualcomm 778g",128586.416667
"Android","rmx3930",68,", ums9230_latte",128556.35
"Android","infinix x6525b",73,,128548.15
"Android","infinix x678b",78,"helio g99",128483.05
"Android","sm-g892a",83,"qualcomm 835",128371.15
"Android","moto g(20)",65,,128368.866667
"Android","v2058",75,"helio p65",128218.616667
"Android","2409brn2cy",75,"helio p65",128167.85
"Android","23108rn04y",72,,127959.533333
"Android","rmx3910",75,"helio p65",127753.433333
"Android","v2502",86,"qti sm7635  qcom",127310.816667
"Android","v2513",82,"mediatek mt6878  mt6878",127107.816667
"Android","cph2015",73,,126991.683333
"Android","cph1989",76,"helio p60",126989.85
"Android","sm-a055f",69,"null, mt6768",126823.716667
"Android","22101316g",82,"mediatek 1080",126061.2
"Android","v2310",72,,125876.033333
"Android","sm-a236e",83,"qualcomm 695",125764.383333
"Android","a059",86,"qti sm7635  qcom",125554.766667
"iOS","iPhone18,4",-1,,125463.966667
"Android","cph1933",81,"qualcomm technologies, inc sdm665 qcom",125362.266667
"Android","sm-g975f",87,"samsung exynos 9820  exynos9820",125072.966667
"Android","sm-a346m",82,"mediatek 900",124747.533333
"Android","sm-a156e",75,,124475.383333
"Android","sm-a217f",77,,124450.45
"Android","sm-s911w",95,"qualcomm 8 Gen 2",124235.983333
"Android","rmx3741",82,"mediatek 1080",123877.633333
"Android","cph2127",80,"qualcomm technologies, inc sm4250 qcom",123864.466667
"Android","tecno kl5",69,,123724.016667
"Android","ztab10",69,"helio a20",123645.866667
"Android","v2310",69,", mt6768",123633.083333
"Android","sm-g610f",80,"samsungexynos7870",123604.816667
"iOS","iPhone13,3",-1,,123554.866667
"Android","vivo y17",75,"helio p35",123502.516667
"Android","sm-a146b",83,"exynos 1330",123493.2
"Android","rmx3624",73,"unisoc t612",123240.266667
"Android","2209116ag",83,"qualcomm 730",123208.65
"Android","cph2473",89,,122959.55
"Android","moto g32",82,"qualcomm 680",122755.866667
"Android","motorola edge 50 fusion",89,", qcom",122672.433333
"Android","brp-nx3",83,"qualcomm 6 Gen 1",122601.133333
"Android","moto g pure",73,"helio g25",122575.066667
"Android","infinix x6532c",73,", mt6765",122326.066667
"Android","brp-nx1",89,,121952.333333
"Android","itel a662lm",69,"unisoc sc9863a",121658.5
